(1)838|(1)838|[]
(1)911|(1)911|[]
(1)912|(1)912|[]
(1)921|(1)921|[]
(1)924|(1)924|[]
(1)926|(1)926|[]
(1)927|(1)927|[]
(1)930|(1)930|[]
(1)931|(1)931|[]
(1)932|(1)932|[]
(1)935|(1)935|[]
(1)937|(1)937|[]
(1)938|(1)938|[]
(15)80|(15)80|[https://dbpedia.org/page/1st_century]
(16)98|(16)98|[https://dbpedia.org/page/1st_century]
(17)70|(17)70|[https://dbpedia.org/page/1st_century]
(1789 - 1797)|(1789 - 1797)|[https://dbpedia.org/page/18th_century]
(18)96|(18)96|[https://dbpedia.org/page/1st_century]
(1871 - 1956)|(1871 - 1956)|[https://dbpedia.org/page/19th_century, https://dbpedia.org/page/20th_century]
(19) 14|(19) 14|[https://dbpedia.org/page/1st_century]
(19)08|(19)08|[https://dbpedia.org/page/1st_century]
(19)27|(19)27|[https://dbpedia.org/page/1st_century]
(19)28|(19)28|[https://dbpedia.org/page/1st_century]
(19)38|(19)38|[https://dbpedia.org/page/1st_century]
(19)45|(19)45|[https://dbpedia.org/page/1st_century]
(fals după) 1906|(fals dupa) 1906|[https://dbpedia.org/page/20th_century]
(sec. xviii ?)|(sec. xviii ?)|[https://dbpedia.org/page/18th_century]
-|-|[]
1/2 secol xx|1/2 secol xx|[https://dbpedia.org/page/20th_century]
1/2 secolul al xix-lea|1/2 secolul al xix-lea|[https://dbpedia.org/page/19th_century]
1/2 secolul al xvi-lea|1/2 secolul al xvi-lea|[https://dbpedia.org/page/16th_century]
1/2 secolul al xx-lea|1/2 secolul al xx-lea|[https://dbpedia.org/page/20th_century]
1/2 secolul xix|1/2 secolul xix|[https://dbpedia.org/page/19th_century]
1/2 xix|1/2 xix|[https://dbpedia.org/page/19th_century]
1/2 xx|1/2 xx|[https://dbpedia.org/page/20th_century]
1/3 sec xix|1/3 sec xix|[https://dbpedia.org/page/19th_century]
1/4 al sec. xx|1/4 al sec. xx|[https://dbpedia.org/page/20th_century]
1/4 mil. 5 - sec. i al mil. 4 a.chr.|1/4 mil. 5 - sec. i al mil. 4 __BC__|[http://opendata.cs.pub.ro/resource/timespan/unknown//century, https://dbpedia.org/page/1st_century]
1/4 sec xix|1/4 sec xix|[https://dbpedia.org/page/19th_century]
1/4 sec xx|1/4 sec xx|[https://dbpedia.org/page/20th_century]
1/4 sec,.xx|1/4 sec,.xx|[https://dbpedia.org/page/20th_century]
1/4 sec. al xx-lea|1/4 sec. al xx-lea|[https://dbpedia.org/page/20th_century]
